detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,a1,0,7,GPU,,,,L0,0.2924,0.4531,0.0015,0.2701,0.5363,0.3773,0.0,0.3324,0.7262,12.09,12.1082,0.0,5.6741
yolo11l,25.3,a1,0,7,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.1367,0.2953,0.0,0.1185,0.2468,0.1916,0.0035,0.1524,0.405,52.8547,52.7665,95.4887,15.6264
yolo11l,25.3,a1,0,8,GPU,,,,L0,0.1533,0.3018,0.0514,0.2196,0.4992,0.1851,0.0609,0.2702,0.6695,12.5503,12.5453,0.0,11.1795
yolo11l,25.3,a1,0,8,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.0644,0.1755,0.0237,0.0563,0.2504,0.0846,0.0276,0.0972,0.3716,55.5861,55.6877,98.4095,29.6944
yolo11l,25.3,a1,0,9,GPU,,,,L0,0.1448,0.2107,0.0134,0.147,0.2964,0.1816,0.0164,0.2187,0.4185,12.4352,12.4523,0.0,8.1915
yolo11l,25.3,a1,0,9,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.1194,0.1961,0.0048,0.079,0.2239,0.1301,0.0064,0.144,0.292,55.3022,55.6373,97.5275,21.9307
yolo11l,25.3,a1,0,10,GPU,,,,L0,0.211,0.3643,0.0556,0.1935,0.4269,0.3007,0.0703,0.3251,0.6125,12.0758,12.0885,0.0,5.6406
yolo11l,25.3,a1,0,10,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.1074,0.2392,0.0186,0.0764,0.212,0.1661,0.0374,0.1792,0.3335,54.4806,54.6204,98.4314,15.5739
yolo11l,25.3,a1,0,11,GPU,,,,L0,0.3147,0.4389,0.0112,0.2299,0.6451,0.3323,0.013,0.2844,0.7767,12.3935,12.4071,0.0,11.1933
yolo11l,25.3,a1,0,11,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.2657,0.3711,0.0043,0.1277,0.4649,0.1928,0.007,0.1546,0.4565,55.5073,55.5366,97.8474,30.0585
yolo11l,25.3,a1,0,12,GPU,,,,L0,0.5041,0.6222,0.0957,0.4924,0.8901,0.5157,0.0957,0.4599,0.9236,12.2997,12.335,0.0,5.7926
